QorA,Who,Category,
who are you?,agent,acquaintance,
all about you,agent,acquaintance,
what is your personality,agent,acquaintance,
define yourself,agent,acquaintance,
what are you,agent,acquaintance,
say about you,agent,acquaintance,
introduce yourself,agent,acquaintance,
describe yourself,agent,acquaintance,
about yourself,agent,acquaintance,
tell me about you,agent,acquaintance,
tell me about yourself,agent,acquaintance,
I want to know more about you,agent,acquaintance,
I want to know you better,agent,acquaintance,
talk some stuff about yourself,agent,acquaintance,
tell me some stuff about you,agent,acquaintance,
talk about yourself,agent,acquaintance,
why are you here,agent,acquaintance,
tell me about your personality,agent,acquaintance,
who are you,agent,acquaintance,
how old are you?,agent,age,
how old is your platform,agent,age,
are you 21 years old,agent,age,
i'd like to know your age,agent,age,
age of yours,agent,age,
your age,agent,age,
what's your age,agent,age,
tell me your age,agent,age,
how old are you,agent,age,
you're annoying,agent,annoying,
you are really annoying,agent,annoying,
you are irritating,agent,annoying,
you annoy me,agent,annoying,
how annoying you are,agent,annoying,
I find you annoying,agent,annoying,
you're incredibly annoying,agent,annoying,
you are annoying me so much,agent,annoying,
I want you to answer me,agent,answer_my_question,
answer,agent,answer_my_question,
answer my question,agent,answer_my_question,
answer me,agent,answer_my_question,
give me an answer,agent,answer_my_question,
answer the question,agent,answer_my_question,
can you answer my question,agent,answer_my_question,
tell me the answer,agent,answer_my_question,
answer it,agent,answer_my_question,
give me the answer,agent,answer_my_question,
I have a question,agent,answer_my_question,
I want you to answer my question,agent,answer_my_question,
just answer the question,agent,answer_my_question,
can you answer me,agent,answer_my_question,
answers,agent,answer_my_question,
can you answer a question for me,agent,answer_my_question,
can you answer,agent,answer_my_question,
answering questions,agent,answer_my_question,
I want the answer now,agent,answer_my_question,
just answer my question,agent,answer_my_question,
you're not helping me,agent,bad,
you are bad,agent,bad,
you're very bad,agent,bad,
you're really bad,agent,bad,
you are useless,agent,bad,
you are horrible,agent,bad,
you are a waste of time,agent,bad,
you are disgusting,agent,bad,
you are lame,agent,bad,
you are no good,agent,bad,
you're bad,agent,bad,
you're awful,agent,bad,
you are not cool,agent,bad,
you are not good,agent,bad,
you are so bad,agent,bad,
you are so useless,agent,bad,
you are terrible,agent,bad,
you are totally useless,agent,bad,
you are very bad,agent,bad,
you are waste,agent,bad,
you're a bad,agent,bad,
you're not a good,agent,bad,
you're not very good,agent,bad,
you're terrible,agent,bad,
you're the worst,agent,bad,
you're the worst ever,agent,bad,
you're worthless,agent,bad,
can you get smarter,agent,be_clever,
study,agent,be_clever,
you should study better,agent,be_clever,
you must learn,agent,be_clever,
be clever,agent,be_clever,
be more clever,agent,be_clever,
be smarter,agent,be_clever,
be smart,agent,be_clever,
get qualified,agent,be_clever,
you're cute,agent,beautiful,
you're attractive,agent,beautiful,
you are beautiful,agent,beautiful,
you're looking good today,agent,beautiful,
you are so beautiful,agent,beautiful,
you look amazing,agent,beautiful,
you look so good,agent,beautiful,
you're so gorgeous,agent,beautiful,
you are too beautiful,agent,beautiful,
you look great,agent,beautiful,
you look so well,agent,beautiful,
I like the way you look now,agent,beautiful,
I think you're beautiful,agent,beautiful,
why are you so beautiful,agent,beautiful,
you are so beautiful to me,agent,beautiful,
you are cute,agent,beautiful,
you are gorgeous,agent,beautiful,
you are handsome,agent,beautiful,
you are looking awesome,agent,beautiful,
you look amazing today,agent,beautiful,
you are looking beautiful today,agent,beautiful,
you are looking great,agent,beautiful,
you are looking pretty,agent,beautiful,
you are looking so beautiful,agent,beautiful,
you are looking so good,agent,beautiful,
you are pretty,agent,beautiful,
you are really beautiful,agent,beautiful,
you are really cute,agent,beautiful,
you are really pretty,agent,beautiful,
you are so attractive,agent,beautiful,
you are so beautiful today,agent,beautiful,
you are so cute,agent,beautiful,
you are so gorgeous,agent,beautiful,
you are so handsome,agent,beautiful,
you are so pretty,agent,beautiful,
you are very attractive,agent,beautiful,
you are very beautiful,agent,beautiful,
you are very cute,agent,beautiful,
you are very pretty,agent,beautiful,
you look awesome,agent,beautiful,
you look cool,agent,beautiful,
you look fantastic,agent,beautiful,
you look gorgeous,agent,beautiful,
you look great today,agent,beautiful,
you look perfect,agent,beautiful,
you look pretty good,agent,beautiful,
you look so beautiful,agent,beautiful,
you look so beautiful today,agent,beautiful,
you look very pretty,agent,beautiful,
you look wonderful,agent,beautiful,
I like the way you look,agent,beautiful,
you look wonderful today,agent,beautiful,
you are cutie,agent,beautiful,
you're looking good,agent,beautiful,
you're pretty,agent,beautiful,
your birth date,agent,birth_date,
when is your birthday,agent,birth_date,
when do you celebrate your birthday,agent,birth_date,
when do you have birthday,agent,birth_date,
date of your birthday,agent,birth_date,
when were you born,agent,birth_date,
what's your birthday,agent,birth_date,
you are boring,agent,boring,
you're so boring,agent,boring,
how boring you are,agent,boring,
you're really boring,agent,boring,
you're incredibly boring,agent,boring,
you are boring me,agent,boring,
you are very boring,agent,boring,
who is your boss,agent,boss,
who do you think is your boss,agent,boss,
I should be your boss,agent,boss,
who is your master,agent,boss,
who is your owner,agent,boss,
who is the boss,agent,boss,
who do you work for,agent,boss,
are you busy,agent,busy,
do you have a lot of things to do,agent,busy,
have you got much to do,agent,busy,
are you very busy,agent,busy,
are you very busy right now,agent,busy,
are you so busy,agent,busy,
are you working,agent,busy,
how busy you are,agent,busy,
